"STATE/UT","YEAR","DG/ ADG","IG","DIG","SSP/SP/ Ad.SP","ASP/ DySP","Insepctor","Sub Inspector","Asst. Sub Inspector","Head Constable","Below HC above Constable","Constables","TOTAL"
"ANDHRA PRADESH","2001",0,0,0,0,0,0,26,0,47,0,1106,1179
"ARUNACHAL PRADESH","2001",0,0,0,0,0,0,8,5,11,0,114,138
"ASSAM","2001",0,0,0,0,0,0,20,5,16,16,331,388
"BIHAR","2001",0,0,0,1,1,1,49,10,30,8,784,884
"CHHATTISGARH","2001",0,0,0,0,0,25,39,12,92,0,274,442
"GOA","2001",0,0,0,0,1,6,2,2,27,0,195,233
"GUJARAT","2001",0,1,1,1,0,11,30,108,236,0,1297,1685
"HARYANA","2001",0,0,0,0,0,0,9,12,46,0,168,235
"HIMACHAL PRADESH","2001",0,0,0,2,3,6,18,11,20,6,545,611
"JAMMU & KASHMIR","2001",0,0,1,2,6,9,18,13,9,0,1374,1432
"JHARKHAND","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KARNATAKA","2001",0,0,0,0,0,2,30,11,318,0,813,1174
"KERALA","2001",0,0,0,0,1,11,44,0,130,0,280,466
"MADHYA PRADESH","2001",0,0,0,0,1,14,69,64,194,841,9,1192
"MAHARASHTRA","2001",0,1,1,4,12,0,213,0,0,0,0,231
"MANIPUR","2001",0,0,0,0,0,0,2,0,3,3,242,250
"MEGHALAYA","2001",0,0,0,0,0,1,9,25,0,0,96,131
"MIZORAM","2001",0,0,0,0,0,4,3,6,2,0,80,95
"NAGALAND","2001",0,0,0,2,5,7,33,30,68,99,593,837
"ODISHA","2001",0,0,0,0,1,10,38,36,0,0,231,316
"PUNJAB","2001",0,0,0,6,2,7,28,34,123,0,851,1051
"RAJASTHAN","2001",0,0,0,2,2,2,36,17,23,0,640,722
"SIKKIM","2001",0,0,0,1,0,0,19,0,88,0,0,108
"TAMIL NADU","2001",2,1,1,6,26,78,115,0,483,464,3052,4228
"TRIPURA","2001",0,0,0,1,2,1,15,17,6,0,171,213
"UTTAR PRADESH","2001",0,1,2,7,24,11,181,0,140,0,1536,1902
"UTTARAKHAND","2001",0,0,0,0,1,0,5,0,9,0,159,174
"WEST BENGAL","2001",0,0,1,3,7,15,108,85,0,0,798,1017
"TOTAL (STATES)","2001",2,4,7,38,95,221,1167,503,2121,1437,15739,21334
"A & N ISLANDS","2001",0,0,0,0,0,0,2,7,13,0,88,110
"CHANDIGARH","2001",0,0,0,0,0,1,19,6,16,0,190,232
"D & N HAVELI","2001",0,0,0,0,0,0,2,0,3,0,16,21
"DAMAN & DIU","2001",0,0,0,0,0,0,0,0,0,0,3,3
"DELHI","2001",0,0,0,0,1,62,157,246,610,0,1017,2093
"LAKSHADWEEP","2001",0,0,0,0,0,0,0,0,1,0,16,17
"PUDUCHERRY","2001",0,0,0,0,0,1,1,1,6,0,70,79
"TOTAL (UTs)","2001",0,0,0,0,1,64,181,260,649,0,1400,2555
"TOTAL (ALL-INDIA)","2001",2,4,7,38,96,285,1348,763,2770,1437,17139,23889
"ANDHRA PRADESH","2002",0,0,0,0,0,0,25,0,47,0,1228,1300
"ARUNACHAL PRADESH","2002",0,0,0,0,0,0,8,5,11,0,114,138
"ASSAM","2002",0,0,0,0,0,0,20,5,16,16,331,388
"BIHAR","2002",0,0,0,4,4,1,51,11,25,0,805,901
"CHHATTISGARH","2002",0,0,0,0,0,25,39,12,92,0,274,442
"GOA","2002",0,0,0,0,1,7,6,6,34,0,214,268
"GUJARAT","2002",0,0,0,0,0,11,32,107,252,0,1256,1658
"HARYANA","2002",0,0,0,0,0,4,20,36,75,0,368,503
"HIMACHAL PRADESH","2002",0,0,0,2,3,6,20,10,26,6,560,633
"JAMMU & KASHMIR","2002",0,0,1,2,6,9,18,13,9,0,1374,1432
"JHARKHAND","2002",0,3,1,4,2,0,27,31,27,0,0,95
"KARNATAKA","2002",0,0,0,0,0,2,36,25,371,0,1135,1569
"KERALA","2002",0,0,0,0,1,11,51,0,130,0,300,493
"MADHYA PRADESH","2002",0,1,2,8,39,10,151,45,734,0,1018,2008
"MAHARASHTRA","2002",0,1,1,5,20,18,260,125,293,235,3423,4381
"MANIPUR","2002",0,0,0,0,0,0,2,0,3,3,242,250
"MEGHALAYA","2002",0,0,0,1,3,1,9,25,0,0,96,135
"MIZORAM","2002",0,0,0,1,1,15,44,42,56,56,269,484
"NAGALAND","2002",0,0,0,2,5,7,33,30,68,99,581,825
"ODISHA","2002",0,0,0,0,1,10,38,39,0,0,241,329
"PUNJAB","2002",0,0,0,6,2,7,28,34,123,0,851,1051
"RAJASTHAN","2002",0,0,0,2,2,2,36,17,23,0,640,722
"SIKKIM","2002",0,0,0,1,0,8,13,0,0,6,127,155
"TAMIL NADU","2002",2,1,1,4,31,105,118,0,776,791,5205,7034
"TRIPURA","2002",0,0,0,1,1,1,17,15,0,0,175,210
"UTTAR PRADESH","2002",0,0,2,5,25,11,181,0,140,0,1536,1900
"UTTARAKHAND","2002",1,0,0,0,1,0,9,0,8,0,261,280
"WEST BENGAL","2002",0,0,1,2,10,16,137,76,0,0,866,1108
"TOTAL (STATES)","2002",3,6,9,50,158,287,1429,709,3339,1212,23490,30692
"A & N ISLANDS","2002",0,0,0,0,1,0,2,7,13,0,117,140
"CHANDIGARH","2002",0,0,0,0,0,0,20,8,13,0,190,231
"D & N HAVELI","2002",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","2002",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","2002",0,0,0,0,1,60,157,245,592,0,1045,2100
"LAKSHADWEEP","2002",0,0,0,0,0,0,0,0,1,0,16,17
"PUDUCHERRY","2002",0,0,0,0,0,1,1,1,6,0,70,79
"TOTAL (UTs)","2002",0,0,0,0,2,61,180,261,625,0,1438,2567
"TOTAL (ALL-INDIA)","2002",3,6,9,50,160,348,1609,970,3964,1212,24928,33259
"ANDHRA PRADESH","2003",0,0,0,0,0,0,28,0,49,0,1251,1328
"ARUNACHAL PRADESH","2003",0,0,0,0,0,0,8,5,11,0,114,138
"ASSAM","2003",0,0,0,0,0,0,20,5,16,16,331,388
"BIHAR","2003",0,0,0,4,3,1,50,10,22,0,800,890
"CHHATTISGARH","2003",0,0,0,0,5,3,56,667,54,0,258,1043
"GOA","2003",0,0,0,0,2,7,6,10,24,0,180,229
"GUJARAT","2003",0,0,0,0,0,8,32,123,257,0,1212,1632
"HARYANA","2003",0,1,0,5,2,4,20,36,48,0,461,577
"HIMACHAL PRADESH","2003",0,0,0,2,3,6,20,10,22,0,533,596
"JAMMU & KASHMIR","2003",0,0,1,2,6,9,18,13,9,0,1374,1432
"JHARKHAND","2003",0,0,0,0,0,0,11,12,6,0,229,258
"KARNATAKA","2003",0,0,0,2,4,19,65,121,699,0,1882,2792
