STATE/UT,YEAR,DG/ ADG,IG,DIG,SSP/SP/ Ad.SP,ASP/ DySP,Insepctor,Sub Inspector,Asst. Sub Inspector,Head Constable,Below HC above Constable,Constables,TOTAL
Andhra Pradesh,2013,0,0,0,0,0,30,57,129,570,0,1519,2305
Arunachal Pradesh,2013,0,1,0,3,1,5,17,5,14,0,364,410
Assam,2013,0,0,0,0,0,0,88,38,59,46,2284,2515
Bihar,2013,0,0,1,10,9,11,137,43,148,0,2445,2804
Chhattisgarh,2013,0,0,0,14,18,57,41,48,152,0,2018,2348
Goa,2013,0,0,0,0,2,9,18,10,137,0,339,515
Gujarat,2013,1,1,0,7,23,6,115,289,595,0,2122,3159
Haryana,2013,0,1,1,4,21,23,93,134,219,0,1972,2468
Himachal Pradesh,2013,0,1,0,8,6,6,8,16,96,0,1416,1557
Jammu and Kashmir,2013,1,0,0,8,24,35,85,27,219,737,1372,2508
Jharkhand,2013,1,2,2,3,6,29,241,145,690,0,3325,4444
Karnataka,2013,0,0,0,5,7,34,127,288,521,0,3010,3992
Kerala,2013,0,0,0,0,1,22,59,0,129,0,2374,2585
Madhya Pradesh,2013,2,6,2,6,88,76,287,168,356,0,2111,3102
Maharashtra,2013,1,3,0,16,52,120,1084,211,609,2597,15877,20570
Manipur,2013,0,0,0,0,0,1,84,80,157,0,1698,2020
Meghalaya,2013,0,0,0,4,3,13,87,11,21,0,190,329
Mizoram,2013,0,0,1,1,10,20,119,98,147,0,172,568
Nagaland,2013,0,0,0,0,1,0,3,5,5,0,52,66
Odisha,2013,0,4,3,9,13,156,321,81,34,21,3739,4381
Punjab,2013,0,3,1,7,23,23,117,101,313,0,4672,5260
Rajasthan,2013,1,4,2,29,28,8,131,42,87,0,6236,6568
Sikkim,2013,0,0,0,3,13,13,20,4,8,0,272,333
Tamil Nadu,2013,2,2,0,44,46,204,1397,0,0,0,17187,18882
Tripura,2013,0,0,0,3,5,5,43,51,58,16,596,777
Uttar Pradesh,2013,1,2,2,25,65,49,249,0,207,0,6804,7404
Uttarakhand,2013,0,0,0,5,5,2,75,0,60,0,1358,1505
West Bengal,2013,0,0,2,8,4,47,200,266,0,0,3930,4457
Total (State),2013,10,30,17,222,474,1004,5303,2290,5611,3417,89454,107832
Andaman and Nicobar Islands,2013,0,0,0,1,0,9,9,3,40,0,380,442
Chandigarh,2013,0,0,0,0,2,16,18,6,46,0,929,1017
Dadra and Nagar Haveli,2013,0,0,0,0,0,0,2,0,11,0,13,26
Daman and Diu,2013,0,0,0,0,0,0,0,3,4,0,27,34
Delhi,2013,0,2,0,4,16,72,367,347,406,0,3592,4806
Lakshadweep,2013,0,0,0,0,0,0,1,0,8,0,7,16
Puducherry,2013,0,0,0,1,2,1,12,3,3,0,143,165
Total (UTs),2013,0,2,0,6,20,98,409,362,518,0,5091,6506
Total (All-India),2013,10,32,17,228,494,1102,5712,2652,6129,3417,94545,114338
